feature_name
"tGravityAcc-arCoeff()-Z,2"
"fBodyAcc-bandsEnergy()-1,8.2"
tBodyAccJerkMag-iqr()
"fBodyAcc-bandsEnergy()-1,8.1"
"tGravityAcc-arCoeff()-Y,1"
tGravityAcc-mean()-Y
fBodyAccJerk-maxInds-X
fBodyGyro-maxInds-Z
tGravityAcc-min()-Y
"tGravityAcc-arCoeff()-Y,3"
"tGravityAcc-arCoeff()-Z,1"
tBodyAcc-max()-X
fBodyAcc-max()-X
tBodyAccMag-std()
tBodyGyro-energy()-X
fBodyAccJerk-maxInds-Z
"tBodyGyro-correlation()-Y,Z"
fBodyAccJerk-meanFreq()-Z
tGravityAcc-mean()-Z
"fBodyAcc-bandsEnergy()-1,8"
tBodyAccJerk-max()-X
"angle(Z,gravityMean)"
fBodyBodyAccJerkMag-max()
"fBodyAccJerk-bandsEnergy()-1,8.2"
tBodyAccJerk-max()-Z
tGravityAcc-entropy()-X
tBodyAccMag-arCoeff()1
tBodyAccJerk-iqr()-Z
tBodyAccJerk-entropy()-X
"tGravityAcc-arCoeff()-Y,2"
"tBodyGyro-correlation()-X,Z"
tGravityAcc-energy()-Y
"fBodyGyro-bandsEnergy()-17,24.2"
fBodyGyro-kurtosis()-Z
fBodyGyro-meanFreq()-X
tBodyGyro-iqr()-Y
"tBodyAcc-correlation()-X,Z"
tBodyGyroJerk-max()-Z
tBodyAcc-mean()-Y
"tBodyAcc-correlation()-X,Y"
tGravityAcc-max()-Y
tGravityAcc-min()-Z
tBodyAcc-std()-X
tBodyGyro-entropy()-X
tBodyGyroJerk-entropy()-Z
"tBodyGyro-arCoeff()-Y,1"
"fBodyAccJerk-bandsEnergy()-33,40.2"
"angle(Y,gravityMean)"
tBodyAcc-entropy()-X
fBodyGyro-skewness()-Z
"fBodyGyro-bandsEnergy()-1,8.1"
"fBodyAccJerk-bandsEnergy()-9,16.2"
"tGravityAcc-arCoeff()-Z,3"
tBodyGyroJerk-iqr()-Y
fBodyGyro-maxInds-X
"fBodyAcc-bandsEnergy()-17,32.2"
"fBodyAcc-bandsEnergy()-9,16.1"
tBodyAccJerk-mad()-Z
tBodyGyro-mad()-Z
fBodyAccMag-std()
tBodyAcc-entropy()-Y
tBodyGyro-energy()-Z
"tBodyAcc-arCoeff()-Z,1"
fBodyAcc-max()-Z
fBodyAcc-kurtosis()-Y
fBodyGyro-max()-Y
tBodyGyroJerk-entropy()-X
tBodyAcc-min()-Y
fBodyGyro-entropy()-X
"fBodyGyro-bandsEnergy()-17,32.2"
tGravityAcc-mad()-Y
